   1  matched source   69.05225  -34.37506  99  *****
 Frequency     nufnu     nufnu unc.  nufnu unc. start time   end time   Flag  Catalog          Reference
    Hz       erg/cm2/s     upper       lower        MJD         MJD   
---------------------------------------------------------------------------------------------------------------------------
 6.517E+13   9.286E-14   9.286E-14   9.286E-14  58143.2773  58143.2773   UL   NEOWISE          Mainzer et al. 2014, ApJ, 792, 30                                                                                                                                                                       
 8.817E+13   1.788E-13   1.788E-13   1.788E-13  59814.2305  59814.2305   UL   NEOWISE          Mainzer et al. 2014, ApJ, 792, 30                                                                                                                                                                       
 6.517E+13   9.398E-14   9.398E-14   9.398E-14  59814.2305  59814.2305   UL   NEOWISE          Mainzer et al. 2014, ApJ, 792, 30                                                                                                                                                                       
 8.817E+13   8.783E-14   1.111E-13   6.945E-14  57062.1367  57062.1367   Det  NEOWISE          Mainzer et al. 2014, ApJ, 792, 30                                                                                                                                                                       
 6.517E+13   6.221E-14   6.221E-14   6.221E-14  57062.1367  57062.1367   UL   NEOWISE          Mainzer et al. 2014, ApJ, 792, 30                                                                                                                                                                       
 8.817E+13   7.643E-14   9.937E-14   5.878E-14  57063.3867  57063.3867   Det  NEOWISE          Mainzer et al. 2014, ApJ, 792, 30                                                                                                                                                                       
 6.517E+13   7.110E-14   1.150E-13   4.396E-14  57063.3867  57063.3867   Det  NEOWISE          Mainzer et al. 2014, ApJ, 792, 30                                                                                                                                                                       
 8.817E+13   1.250E-13   1.504E-13   1.039E-13  59447.6992  59447.6992   Det  NEOWISE          Mainzer et al. 2014, ApJ, 792, 30                                                                                                                                                                       
 6.517E+13   8.299E-14   8.299E-14   8.299E-14  59447.6992  59447.6992   UL   NEOWISE          Mainzer et al. 2014, ApJ, 792, 30                                                                                                                                                                       
 8.817E+13   9.910E-14   1.438E-13   6.831E-14  57620.7930  57620.7930   Det  NEOWISE          Mainzer et al. 2014, ApJ, 792, 30                                                                                                                                                                       
 6.517E+13   1.425E-13   1.425E-13   1.425E-13  57620.7930  57620.7930   UL   NEOWISE          Mainzer et al. 2014, ApJ, 792, 30                                                                                                                                                                       
 8.817E+13   6.127E-14   8.751E-14   4.290E-14  55238.3789  55238.3789   Det  WISEME           Wright et al. 2010, AJ, 140, 1868                                                                                                                                                                       
 6.517E+13   5.668E-14   5.668E-14   5.668E-14  55238.3789  55238.3789   UL   WISEME           Wright et al. 2010, AJ, 140, 1868                                                                                                                                                                       
 2.498E+13   1.811E-13   1.811E-13   1.811E-13  55238.3789  55238.3789   UL   WISEME           Wright et al. 2010, AJ, 140, 1868                                                                                                                                                                       
 1.363E+13   9.926E-13   9.926E-13   9.926E-13  55238.3789  55238.3789   UL   WISEME           Wright et al. 2010, AJ, 140, 1868                                                                                                                                                                       
 8.817E+13   4.131E-14   4.131E-14   4.131E-14  55239.3711  55239.3711   UL   WISEME           Wright et al. 2010, AJ, 140, 1868                                                                                                                                                                       
 6.517E+13   5.383E-14   5.383E-14   5.383E-14  55239.3711  55239.3711   UL   WISEME           Wright et al. 2010, AJ, 140, 1868                                                                                                                                                                       
 2.498E+13   3.230E-13   3.230E-13   3.230E-13  55239.3711  55239.3711   UL   WISEME           Wright et al. 2010, AJ, 140, 1868                                                                                                                                                                       
 1.363E+13   8.986E-13   8.986E-13   8.986E-13  55239.3711  55239.3711   UL   WISEME           Wright et al. 2010, AJ, 140, 1868                                                                                                                                                                       
 8.817E+13   6.369E-14   6.369E-14   6.369E-14  55239.3047  55239.3047   UL   WISEME           Wright et al. 2010, AJ, 140, 1868                                                                                                                                                                       
 6.517E+13   6.401E-14   6.401E-14   6.401E-14  55239.3047  55239.3047   UL   WISEME           Wright et al. 2010, AJ, 140, 1868                                                                                                                                                                       
 2.498E+13   1.846E-13   1.846E-13   1.846E-13  55239.3047  55239.3047   UL   WISEME           Wright et al. 2010, AJ, 140, 1868                                                                                                                                                                       
 1.363E+13   1.763E-12   1.763E-12   1.763E-12  55239.3047  55239.3047   UL   WISEME           Wright et al. 2010, AJ, 140, 1868                                                                                                                                                                       
 8.817E+13   6.718E-14   6.718E-14   6.718E-14  55239.2383  55239.2383   UL   WISEME           Wright et al. 2010, AJ, 140, 1868                                                                                                                                                                       
 6.517E+13   5.627E-14   5.627E-14   5.627E-14  55239.2383  55239.2383   UL   WISEME           Wright et al. 2010, AJ, 140, 1868                                                                                                                                                                       
 2.498E+13   3.441E-13   3.441E-13   3.441E-13  55239.2383  55239.2383   UL   WISEME           Wright et al. 2010, AJ, 140, 1868                                                                                                                                                                       
 1.363E+13   8.903E-13   8.903E-13   8.903E-13  55239.2383  55239.2383   UL   WISEME           Wright et al. 2010, AJ, 140, 1868                                                                                                                                                                       
 8.817E+13   3.891E-14   3.891E-14   3.891E-14  55239.1719  55239.1719   UL   WISEME           Wright et al. 2010, AJ, 140, 1868                                                                                                                                                                       
 6.517E+13   8.384E-14   8.384E-14   8.384E-14  55239.1719  55239.1719   UL   WISEME           Wright et al. 2010, AJ, 140, 1868                                                                                                                                                                       
 2.498E+13   2.312E-13   2.312E-13   2.312E-13  55239.1719  55239.1719   UL   WISEME           Wright et al. 2010, AJ, 140, 1868                                                                                                                                                                       
 1.363E+13   7.131E-13   7.131E-13   7.131E-13  55239.1719  55239.1719   UL   WISEME           Wright et al. 2010, AJ, 140, 1868                                                                                                                                                                       
 8.817E+13   4.162E-14   4.162E-14   4.162E-14  55239.1055  55239.1055   UL   WISEME           Wright et al. 2010, AJ, 140, 1868                                                                                                                                                                       
 6.517E+13   5.979E-14   5.979E-14   5.979E-14  55239.1055  55239.1055   UL   WISEME           Wright et al. 2010, AJ, 140, 1868                                                                                                                                                                       
 2.498E+13   2.034E-13   2.034E-13   2.034E-13  55239.1055  55239.1055   UL   WISEME           Wright et al. 2010, AJ, 140, 1868                                                                                                                                                                       
