identifier;type;ra [°];dec [°];redshift
5BZQJ0322-5205;FSRQ;50,53429;-52,09306;0,416
5BZQJ0322-5042;FSRQ;50,55175;-50,70919;0,651
3HSPJ032228.3-504540;BL Lac;50,61796;-50,76108;0,530
5BZQJ0322-1335;FSRQ;50,66021;-13,58825;1,468
Fornax A;;50,67000;-37,21000;
MG1 J032256+0941;;50,72740;9,68396;
5BZBJ0323-0111;BL Lac;50,93175;-1,19614;0,440
5BZBJ0323+0717;;50,96162;7,29364;0,310
5BZBJ0323-0108;BL Lac;50,98600;-1,14156;0,392
NVSS J032430-131002;;51,12878;-13,16749;
5BZUJ0324+3410;;51,17150;34,17942;0,061
5BZQJ0324-2918;FSRQ;51,18459;-29,30589;4,630
NVSS J032451-204324;;51,21395;-20,72340;
5BZQJ0325-2140;FSRQ;51,25333;-21,67820;2,828
5BZQJ0325-2415;FSRQ;51,30579;-24,26336;1,161
2MASX J03251760+3332;;51,32326;33,54548;
5BZQJ0325-5629;FSRQ;51,34442;-56,48466;0,862
3HSPJ032523.5-563545;BL Lac;51,34804;-56,59572;0,600
5BZQJ0325+2224;FSRQ;51,40338;22,40011;2,066
5BZBJ0325-1646;;51,42121;-16,77133;0,291
3FGL J0326.0-1842;;51,47913;-18,73580;
5BZBJ0326+0225;BL Lac;51,55821;2,42075;0,147
5BZQJ0326-3243;FSRQ;51,56271;-32,72361;0,699
GALEXASC J032647.30-;;51,68386;-34,05773;
3HSPJ032647.4-340448;BL Lac;51,69729;-34,07994;0,510
5BZQJ0326-5337;FSRQ;51,71229;-53,61706;0,543
CRATES J032743.34-18;;51,93058;-18,06167;
5BZQJ0327+0044;FSRQ;51,99675;0,73964;1,357
5BZQJ0327-2202;FSRQ;51,99966;-22,03511;2,220
3HSPJ032852.7-571606;BL Lac;52,21954;-57,26819;0,480
5BZUJ0329+3510;;52,31396;35,16833;0,500
5BZQJ0329-2357;FSRQ;52,47533;-23,95245;0,895
GB6 J0330+0439;;52,68297;4,66795;
3HSPJ033050.0-240612;BL Lac;52,70850;-24,10328;0,430
5BZQJ0331-2524;FSRQ;52,78721;-25,41200;2,690
PGC 013066;;52,81246;-52,69672;
3HSPJ033118.5-615529;BL Lac;52,82700;-61,92464;0,210
3FGL J0332.0+6308;;52,97465;63,13727;
3HSPJ033202.4-703949;BL Lac;53,00979;-70,66358;0,240
4FGL J0332.2-1737;;53,08421;-17,58159;
5BZUJ0332-1119;;53,09687;-11,33072;
3HSPJ033223.8+822645;BL Lac;53,09904;82,44586;
4FGLJ0333.1+8227;;53,09960;82,44579;
5BZQJ0332-7249;FSRQ;53,17917;-72,81792;2,739
5BZQJ0332-4455;FSRQ;53,18379;-44,93250;2,679
4FGL J0332.8+1557;;53,21678;15,94901;
5BZBJ0333-3619;BL Lac;53,30117;-36,32964;0,308
NVSS J033321+023110;;53,34005;2,51973;
3FGL J0333.4+7853;;53,43704;78,84100;
3FGL J0333.4+4003;;53,44503;40,11067;
NVWJ0333.9-2855;;53,44820;-28,92670;
5BZBJ0333+2916;BL Lac;53,45417;29,27542;
5BZBJ0333+6536;BL Lac;53,48642;65,61562;0,160
3HSPJ033404.5-395622;;53,51850;-39,93940;
5BZBJ0334-4008;BL Lac;53,55687;-40,14039;
5BZBJ0334-3725;BL Lac;53,56425;-37,42864;0,390
3FGL J0334.2+3915;;53,57673;39,35678;
NVWJ0334.9+7055;;53,62420;70,92040;
5BZQJ0334+0800;FSRQ;53,72216;8,00400;1,982
5BZBJ0335-4459;BL Lac;53,80791;-44,99445;
4FGL J0335.8+2733;;53,97042;27,57222;
3HSPJ033612.9-213129;BL Lac;54,05354;-21,52467;0,350
5BZBJ0336-0347;BL Lac;54,09917;-3,79406;0,162
5BZQJ0336+3218;FSRQ;54,12546;32,30814;1,259
5BZQJ0336-1302;FSRQ;54,14600;-13,03464;1,303
5BZQJ0336-3616;FSRQ;54,22504;-36,26839;1,537
5BZQJ0337-1204;FSRQ;54,48104;-12,06792;3,442
5BZQJ0338+3106;FSRQ;54,50142;31,10269;1,662
5BZBJ0338-2443;BL Lac;54,55209;-24,73064;0,251
3HSPJ033829.3+130216;BL Lac;54,62196;13,03764;
3HSPJ033832.0-570449;BL Lac;54,63342;-57,08022;0,300
3HSPJ033851.9-532425;BL Lac;54,71629;-53,40703;0,370
3HSPJ033859.6-284620;BL Lac;54,74834;-28,77219;0,270
5BZQJ0339-0133;FSRQ;54,75404;-1,55478;3,197
3HSPJ033913.7-173601;BL Lac;54,80708;-17,60022;0,066
5BZQJ0339-0146;FSRQ;54,87891;-1,77661;0,850
NVSS J034022-242411;;55,09537;-24,40205;
5BZQJ0340-6703;FSRQ;55,11766;-67,05459;0,478
TXS 0338-030;;55,13582;-2,91506;
5BZBJ0340-2119;BL Lac;55,14838;-21,32533;0,233
3HSPJ034054.7+782259;BL Lac;55,22804;78,38300;0,310
5BZQJ0341+3352;FSRQ;55,29158;33,87267;0,725
5BZQJ0341-5954;FSRQ;55,34004;-59,90247;2,064
5BZUJ0342+3859;;55,56775;38,98506;0,945
3FGL J0342.6-3006;;55,66768;-30,13301;
3HSPJ034254.2-370737;BL Lac;55,72575;-37,12706;0,201
5BZQJ0343-2530;FSRQ;55,83133;-25,50483;1,419
3FGL J0343.3-6443;;55,83487;-64,71558;
3HSPJ034323.5-761448;BL Lac;55,84792;-76,24673;0,220
5BZQJ0343+3622;FSRQ;55,87062;36,37011;1,485
5BZQJ0343-1141;FSRQ;55,92492;-11,69381;2,259
3HSPJ034402.4+730115;BL Lac;56,01012;73,02074;0,280
1RXS J034418.2+32090;;56,07584;32,15097;
5BZQJ0344+1559;FSRQ;56,09654;15,99539;2,276
3HSPJ034424.9+343018;BL Lac;56,10387;34,50497;
3HSPJ034427.3-523558;BL Lac;56,11392;-52,59936;
5BZQJ0345+1453;FSRQ;56,27675;14,89711;1,556
3FGL J0345.1-2353;;56,32632;-23,87233;
2MASS J03453818-3256;;56,37398;-32,93537;
5BZQJ0345-0023;FSRQ;56,39034;-0,38408;0,799
3HSPJ034609.4-420506;BL Lac;56,53929;-42,08486;0,470
3HSPJ034656.9-133831;BL Lac;56,73725;-13,64181;
5BZQJ0347+4842;FSRQ;56,79838;48,71042;2,043
NVWJ0347.6-2438;;56,81190;-24,63570;
4FGL J0347.6-0133;;56,88583;-1,53458;
4FGL J0347.7-3616;;56,99618;-36,27679;
3HSPJ034819.9+603509;BL Lac;57,08275;60,58572;
5BZQJ0348-2749;FSRQ;57,15892;-27,82044;0,991
5BZBJ0348-1610;BL Lac;57,16363;-16,17161;
2MASS J03485302-0824;;57,19015;-8,40693;
4FGL J0348.9-4859;;57,30393;-48,97358;
5BZBJ0349-1159;BL Lac;57,34666;-11,99083;0,188
NVWJ0349.1-0808;;57,38840;-8,14120;
4FGL J0349.6+2410;;57,43042;24,25328;
3HSPJ034957.8+064126;BL Lac;57,49096;6,69061;0,260
5BZQJ0349-2102;FSRQ;57,49096;-21,04658;2,944
3HSPJ035025.0+271000;;57,60430;27,16660;
5BZQJ0350+5138;FSRQ;57,60437;51,64408;1,437
3HSPJ035028.3-514454;BL Lac;57,61792;-51,74841;0,320
1RXS J035037.0-51445;;57,65416;-51,74931;
4FGL J0350.6-3226;;57,68048;-32,54984;
3HSPJ035051.3-281633;BL Lac;57,71384;-28,27578;0,470
3FGL J0351.1+0128;;57,73904;1,51803;
5BZQJ0351-1153;FSRQ;57,79575;-11,88964;1,520
5BZQJ0351-7921;FSRQ;57,85629;-79,36564;1,333
5BZBJ0351-3703;BL Lac;57,97738;-37,06228;0,165
TXS 0350-253;;58,04605;-25,24730;
3HSPJ035257.5-683117;BL Lac;58,23946;-68,52142;0,087
5BZBJ0353-3623;BL Lac;58,27096;-36,38567;0,310
3HSPJ035308.5+825631;BL Lac;58,28525;82,94202;0,069
3HSPJ035309.5+565431;BL Lac;58,28975;56,90853;
5BZQJ0354-1616;FSRQ;58,60425;-16,27292;1,187
3FGL J0354.1+4643;;58,62505;46,72187;
5BZBJ0354+8009;;58,69221;80,15800;
3HSPJ035513.3-184309;BL Lac;58,80533;-18,71903;0,280
CRATES J035515+39090;;58,81913;39,15272;
3HSPJ035532.7-485135;BL Lac;58,88642;-48,85961;0,470
3HSPJ035610.9-132906;BL Lac;59,04538;-13,48500;0,350
5BZBJ0357-4955;BL Lac;59,25071;-49,93017;0,643
5BZUJ0357+2319;;59,34004;23,33161;1,484
5BZQJ0357-4812;FSRQ;59,34133;-48,20422;1,005
3HSPJ035726.1-031759;BL Lac;59,35871;-3,29983;0,300
2MASS J03573680-4625;;59,36965;-46,42868;
3FGL J0356.3-6948;;59,37592;-69,81247;
3HSPJ035733.0-680933;BL Lac;59,38733;-68,15911;0,089
5BZQJ0357-4159;FSRQ;59,40321;-41,98370;1,271
5BZQJ0357-0751;FSRQ;59,43037;-7,85406;1,050
5BZQJ0357+0542;FSRQ;59,44221;5,70869;2,164
3HSPJ035807.3-545139;BL Lac;59,53029;-54,86089;
AT20G J035814-595233;;59,55833;-59,87592;
3FGL J0358.7+0633;;59,61285;6,48882;
WN B0351.8+7640;;59,62631;76,82421;
5BZBJ0358-3054;;59,73375;-30,91328;0,650
3FGL J0358.8+6002;;59,76100;60,08946;
3HSPJ035923.5-023502;BL Lac;59,84783;-2,58383;0,340
5BZQJ0359+5057;FSRQ;59,87396;50,96394;1,512
5BZBJ0359-2615;BL Lac;59,89033;-26,25870;
5BZQJ0359+3220;FSRQ;59,93713;32,34644;1,331
5BZQJ0400+0550;FSRQ;60,04892;5,84531;0,761
GB6 J0400+3921;;60,18911;39,35272;
5BZGJ0401-1606;;60,27767;-16,11083;0,032
3HSPJ040111.2-535459;BL Lac;60,29667;-53,91625;0,590
MG1 J040119+0412;;60,33297;4,22622;
3HSPJ040126.3-080159;BL Lac;60,35966;-8,03314;0,147
5BZBJ0401+8153;;60,36967;81,88663;0,215
5BZQJ0401+2110;FSRQ;60,43821;21,17461;0,834
NVWJ0401.8-2747;;60,45390;-27,79810;
PMN J0401-2034;;60,46962;-20,58610;
5BZBJ0402-2615;BL Lac;60,50325;-26,26092;
87GB 035856.9+272842;;60,51335;27,62105;
5BZQJ0402-3147;FSRQ;60,58862;-31,79053;1,288
3HSPJ040254.4+643510;BL Lac;60,72679;64,58611;0,310
5BZQJ0403+2600;FSRQ;60,77329;26,00042;2,109
5BZBJ0403-2429;BL Lac;60,85233;-24,49717;0,357
5BZQJ0403-2444;FSRQ;60,92392;-24,73569;0,598
5BZQJ0403-3605;FSRQ;60,97396;-36,08386;1,417
2MASS J04043278-1719;;61,10702;-17,30745;
PMN J0404-1559;;61,17421;-15,99053;
5BZQJ0405-0739;FSRQ;61,25333;-7,65567;2,817
5BZQJ0405-1308;FSRQ;61,39167;-13,13714;0,571
SUMSS J040608-540445;;61,53609;-54,08052;
5BZQJ0406-1749;FSRQ;61,55100;-17,83275;1,640
5BZQJ0406+0637;FSRQ;61,64300;6,62086;0,666
5BZUJ0406-3826;;61,74596;-38,44111;1,285
5BZBJ0407+0742;BL Lac;61,87121;7,70208;1,133
5BZQJ0407-3303;FSRQ;61,89129;-33,06289;2,562
5BZUJ0407-1211;;61,95179;-12,19353;0,573
3HSPJ040905.0-053236;BL Lac;62,27092;-5,54322;0,346
5BZQJ0409-1238;FSRQ;62,27404;-12,64669;1,563
5BZBJ0409-0555;BL Lac;62,29729;-5,92481;
5BZBJ0409+1217;BL Lac;62,34171;12,29439;0,504
5BZBJ0409+0640;BL Lac;62,35771;6,67642;0,805
3HSPJ040928.5+320246;BL Lac;62,36879;32,04611;0,280
5BZBJ0409-0400;BL Lac;62,44412;-4,00100;
5BZQJ0410-7750;FSRQ;62,67629;-77,84536;2,449
5BZQJ0410-1636;FSRQ;62,74750;-16,60278;0,622
3HSPJ041112.4-394143;;62,80150;-39,69550;0,700
NVWJ0411.5-3731;;62,87580;-37,52230;
5BZQJ0411-5149;FSRQ;62,90479;-51,82317;1,257
4FGL J0411.7+3041;;62,94365;30,66324;
PKS 0409+025;;63,11965;2,67720;
5BZQJ0412+0010;FSRQ;63,13942;0,18014;1,130
5BZQJ0412+0438;FSRQ;63,15913;4,63503;1,081
3HSPJ041238.5-392630;BL Lac;63,16021;-39,44153;0,500
4FGL J0412.6-5434;;63,19750;-54,59458;
5BZQJ0412-4604;FSRQ;63,20954;-46,08047;2,223
5BZQJ0413-5332;FSRQ;63,30617;-53,53347;1,024
3HSPJ041422.6-035018;BL Lac;63,59425;-3,83831;0,360
4FGL J0414.6-0842;;63,63792;-8,70192;
3HSPJ041458.1-533944;BL Lac;63,74216;-53,66219;
4FGL J0415.2-5741;;63,77375;-57,71041;
5BZQJ0415-4023;FSRQ;63,81021;-40,39475;1,389
4FGL J0416.0-4743;;63,97607;-47,62650;
5BZUJ0416-2056;;64,01817;-20,94097;0,807
PMN J0416-6629;;64,02167;-66,48256;
5BZUJ0416-4355;;64,02425;-43,92072;0,398
WISE J041605.82-4355;;64,05530;-43,84893;
5BZQJ0416-1851;FSRQ;64,15225;-18,85231;1,536
3HSPJ041645.3-552530;BL Lac;64,18862;-55,42486;0,330
5BZBJ0416+0105;BL Lac;64,21871;1,08997;0,287
3FGL J0418.0-0251;;64,49275;-2,83870;
2MASS J04180997+3411;;64,54146;34,19303;
3FGL J0418.5+3813;;64,58865;38,02661;
3HSPJ041855.9+132451;BL Lac;64,73275;13,41428;0,270
5BZQJ0419-2132;FSRQ;64,75175;-21,54325;1,646
5BZQJ0419-3010;FSRQ;64,94671;-30,17328;1,003
3HSPJ041949.4+843836;BL Lac;64,95567;84,64333;0,500
4FGL J0420.0+0805;;64,99667;8,07737;
3HSPJ042011.0-601506;BL Lac;65,04591;-60,25153;0,330
3HSPJ042013.4+401121;BL Lac;65,05595;40,18922;0,140
5BZQJ0420-1501;FSRQ;65,07662;-15,02406;1,180
NVSS J042025-374443;;65,10460;-37,74579;
3HSPJ042026.4-651401;BL Lac;65,10992;-65,23347;
PKS 0418-079;;65,22467;-7,87239;
5BZQJ0421-4818;FSRQ;65,36449;-48,30145;0,527
5BZBJ0421-0629;;65,38717;-6,48422;0,390
5BZQJ0422-0643;FSRQ;65,54500;-6,72925;0,242
5BZQJ0422-3844;FSRQ;65,56162;-38,74803;3,110
5BZBJ0422+1950;BL Lac;65,57638;19,84861;0,516
5BZQJ0422+1741;FSRQ;65,69908;17,68775;0,908
5BZQJ0422+0219;FSRQ;65,71754;2,32414;2,277
3HSPJ042301.2-522716;BL Lac;65,75513;-52,45456;
TXS 0420+210;;65,75829;21,13392;
3HSPJ042308.0-315958;BL Lac;65,78325;-31,99953;0,580
5BZQJ0423-0120;FSRQ;65,81583;-1,34253;0,916
4FGL J0423.7+0831;;65,92709;8,51654;
3HSPJ042344.9-543150;BL Lac;65,93709;-54,53061;0,290
5BZBJ0423+4150;;65,98338;41,83408;
5BZQJ0424+0204;FSRQ;66,03567;2,07361;2,056
5BZQJ0424-3848;FSRQ;66,14050;-38,81155;2,346
5BZQJ0424-3756;FSRQ;66,17600;-37,93911;0,782
5BZBJ0424+0036;BL Lac;66,19517;0,60178;
5BZQJ0424+0805;FSRQ;66,24000;8,08806;3,085
5BZBJ0425-5331;BL Lac;66,26779;-53,53286;
5BZQJ0425-5754;FSRQ;66,26966;-57,91547;0,886
3HSPJ042525.4+632002;BL Lac;66,35562;63,33386;0,270
5BZGJ0425-0833;;66,46384;-8,56108;0,039
3FGL J0426.6+0459;;66,57990;4,84047;
4FGL J0426.5+2007;;66,63540;19,99244;
5BZQJ0426+0518;FSRQ;66,65250;5,30553;1,333
NVWJ0426.3-3216;;66,69009;-32,28279;
3FGL J0426.3+6827;;66,70863;68,43137;
5BZQJ0427-0756;FSRQ;66,80929;-7,94025;1,375
3FGL J0427.3-3900;;66,84023;-39,01710;
3HSPJ042733.4-183010;BL Lac;66,88896;-18,50286;0,220
5BZQJ0428+3259;FSRQ;67,02421;32,99778;0,476
5BZQJ0428+1732;FSRQ;67,14846;17,53989;3,317
5BZBJ0428-3756;BL Lac;67,16842;-37,93878;1,110
4FGL J0428.7-5003;;67,17764;-50,09286;
5BZGJ0428-3805;;67,21192;-38,09736;0,150
5BZBJ0429-3236;;67,25071;-32,61144;0,340
TXS 0426-002;;67,32987;-0,10314;
5BZQJ0429-4328;FSRQ;67,35421;-43,47680;1,423
3FGL J0429.8+2843;;67,45845;28,71468;
3HSPJ042958.9-305935;BL Lac;67,49554;-30,99311;0,210
5BZBJ0430-2507;BL Lac;67,56671;-25,12747;
3FGL J0430.5+1655;;67,59309;16,91816;
3HSPJ043046.4+030338;BL Lac;67,69324;3,06047;0,430
5BZQJ0431-0406;FSRQ;67,86704;-4,10758;0,628
3HSPJ043145.1+740327;BL Lac;67,93775;74,05739;
3HSPJ043154.9-653636;BL Lac;67,97887;-65,60995;0,330
5BZUJ0431+1731;;67,98908;17,52661;
5BZQJ0432-5109;FSRQ;68,08826;-51,15700;0,557
3HSPJ043307.5+322841;BL Lac;68,28142;32,47797;
5BZUJ0433+0521;;68,29620;5,35433;0,033
5BZBJ0433-4502;BL Lac;68,30767;-45,04850;0,324
3HSPJ043332.9-104232;BL Lac;68,38704;-10,70900;0,290
5BZQJ0433-6030;FSRQ;68,39212;-60,50383;0,930
5BZBJ0433+2905;BL Lac;68,40762;29,09875;0,970
5BZQJ0433+3237;FSRQ;68,41946;32,61986;2,011
3HSPJ043344.1-572613;BL Lac;68,43387;-57,43700;
5BZQJ0434-4355;FSRQ;68,51354;-43,92978;2,649
5BZBJ0434-2015;BL Lac;68,53300;-20,25478;
5BZQJ0434-1442;FSRQ;68,57929;-14,71539;1,899
4FGL J0434.3-2517;;68,58607;-25,24264;
5BZBJ0434-2342;BL Lac;68,62071;-23,70147;
3HSPJ043441.0+092349;BL Lac;68,67075;9,39683;0,210
5BZQJ0435-0811;FSRQ;68,78475;-8,18419;0,791
3HSPJ043517.8-262122;BL Lac;68,82400;-26,35619;0,310
5BZQJ0435+2532;FSRQ;68,89408;25,54992;0,602
5BZQJ0435+2923;FSRQ;68,99321;29,39344;2,336
SUMSS J043612-342230;;69,05225;-34,37506;
NVSS J043614-003637;;69,06076;-0,61072;
4FGL J0437.2-5846;;69,18012;-58,66954;
4FGL J0436.8-5223;;69,21750;-52,27764;
5BZQJ0437-1844;FSRQ;69,25616;-18,74683;2,702
2MASS J04372712-7148;;69,26824;-71,80560;
PMN J0437-6157;;69,33242;-61,94858;
3HSPJ043726.9-462500;BL Lac;69,36212;-46,41672;
5BZQJ0437-2954;FSRQ;69,40237;-29,90114;1,328
5BZQJ0438+3004;FSRQ;69,52062;30,07931;1,454
5BZQJ0438-1251;FSRQ;69,64591;-12,85094;1,285
3HSPJ043837.1-732922;BL Lac;69,65446;-73,48933;0,150
3HSPJ043837.4+311940;BL Lac;69,65600;31,32769;
5BZQJ0438-2012;FSRQ;69,71037;-20,20733;2,146
SSTSL2 J043903.89+21;;69,73285;21,88620;
5BZBJ0439-4522;BL Lac;69,75355;-45,37292;
5BZGJ0439+0520;;69,75942;5,34547;0,208
3HSPJ043932.2-320052;BL Lac;69,88417;-32,01453;0,400
5BZUJ0439-3210;;69,89117;-32,16939;
3FGL J0439.9-1859;;69,95721;-19,01706;
5BZQJ0439-3017;FSRQ;69,97166;-30,29600;1,447
5BZQJ0440-4333;FSRQ;70,07158;-43,55239;2,852
5BZBJ0440-2459;;70,07737;-24,99281;0,600
5BZUJ0440+1437;;70,08808;14,63250;
5BZBJ0440+2750;BL Lac;70,20992;27,84633;0,200
5BZQJ0441-4313;FSRQ;70,32204;-43,22878;0,593
5BZBJ0441-2952;;70,33121;-29,87675;
4FGL J0441.3-2617;;70,33542;-26,28319;
5BZBJ0441+1504;BL Lac;70,36446;15,08211;0,109
3HSPJ044139.2-105735;BL Lac;70,41350;-10,95975;0,155
5BZBJ0442-0018;BL Lac;70,62587;-0,30828;0,449
5BZQJ0442-2825;FSRQ;70,65691;-28,42525;1,952
5BZQJ0442-0017;FSRQ;70,66108;-0,29539;0,845
3HSPJ044240.7+614040;BL Lac;70,66938;61,67770;0,180
PMN J0443-6651;;70,82579;-66,86792;
3HSPJ044328.4-415156;BL Lac;70,86833;-41,86558;0,300
4FGL J0444.5+0719;;71,09152;7,28828;
3FGL J0444.5+3425;;71,15083;34,42877;
3HSPJ044458.4-583631;BL Lac;71,24325;-58,60853;0,360
TXS 0442+071;;71,25595;7,26498;
5BZGJ0445-6014;;71,25633;-60,24992;0,097
5BZQJ0446+3900;FSRQ;71,54787;39,00475;0,413
4FGL J0446.3-1729;;71,59489;-17,49389;
3HSPJ044627.2-434633;BL Lac;71,61333;-43,77575;
MRC 0445-278;;71,81725;-27,80191;
2MASS J04472149-2539;;71,83940;-25,65849;
5BZQJ0447-0322;FSRQ;71,97808;-3,37842;0,774
3HSPJ044758.0-354938;BL Lac;71,99150;-35,82725;0,600
5BZQJ0448-3659;FSRQ;72,06267;-36,98394;0,561
5BZQJ0448-2109;FSRQ;72,07242;-21,16242;1,971
5BZQJ0448-5041;FSRQ;72,09291;-50,69272;1,479
5BZQJ0448-2626;FSRQ;72,09984;-26,43744;1,764
5BZBJ0448-1632;BL Lac;72,15683;-16,54522;0,350
5BZQJ0448-7417;FSRQ;72,20225;-74,29200;1,208
5BZQJ0448+1127;FSRQ;72,21004;11,46511;1,370
3HSPJ044855.1-101855;BL Lac;72,22954;-10,31536;0,580
5BZQJ0449+1121;FSRQ;72,28196;11,35794;2,153
3HSPJ044917.1-422343;BL Lac;72,32104;-42,39525;0,380
5BZQJ0449+6332;FSRQ;72,34712;63,53594;0,781
5BZBJ0449-4350;BL Lac;72,35292;-43,83583;0,190
NVWJ0449.7-2142;;72,37960;-21,71220;
5BZQJ0449-4809;FSRQ;72,41496;-48,16131;1,497
5BZQJ0449-3911;FSRQ;72,42605;-39,18597;1,290
5BZQJ0449-0057;FSRQ;72,42875;-0,95619;0,487
PMN J0450-4418;;72,50881;-44,30586;
5BZQJ0450-8101;FSRQ;72,52266;-81,01728;0,444
5BZQJ0450-1837;FSRQ;72,64962;-18,61678;2,050
3HSPJ045039.3-160212;BL Lac;72,66367;-16,03675;
AT20G J045102-493626;;72,76117;-49,60744;
3HSPJ045107.5-232534;BL Lac;72,78125;-23,42608;0,360
NVSS J045109+723014;;72,79044;72,50352;
3HSPJ045148.6+572142;BL Lac;72,95267;57,36158;0,310
5BZQJ0451-4653;FSRQ;72,97229;-46,88886;0,602
3HSPJ045215.3+210304;BL Lac;73,06374;21,05106;0,310
5BZQJ0452+1236;FSRQ;73,17751;12,60683;1,177
3HSPJ045249.5-000152;BL Lac;73,20625;-0,03111;0,330
3FGL J0453.2+6321;;73,30190;63,35498;
5BZQJ0453-2807;FSRQ;73,31104;-28,12703;2,564
3HSPJ045358.6+120456;;73,49420;12,08243;
NVWJ0455.0-1059;;73,94781;-10,99798;
5BZQJ0455-4615;FSRQ;73,96155;-46,26630;0,858
3FGL J0456.3+2702;;74,07236;27,03921;
NVSS J045618-163552;;74,07735;-16,59783;
4FGL J0456.4-4043;;74,13464;-40,68954;
5BZQJ0456-3136;FSRQ;74,15283;-31,60347;0,865
5BZQJ0456+0400;FSRQ;74,19654;4,01469;1,349
3HSPJ045658.6-080531;BL Lac;74,24397;-8,09181;0,390
5BZQJ0457-2324;FSRQ;74,26324;-23,41444;1,003
5BZQJ0457+0645;FSRQ;74,28212;6,75203;0,405
NVWJ0457.1-1206;;74,31610;-12,11160;
3HSPJ045741.6+062222;BL Lac;74,42342;6,37267;0,320
3HSPJ045744.2-014932;BL Lac;74,43433;-1,82558;
5BZQJ0457-1819;FSRQ;74,47638;-18,32114;1,527
3HSPJ045804.9+115143;BL Lac;74,52033;11,86197;0,200
3HSPJ045823.5-864409;BL Lac;74,59808;-86,73583;0,220
3HSPJ045834.8+085643;BL Lac;74,64500;8,94539;0,270
4FGL J0459.2-2612;;74,81636;-26,23267;
4FGL J0459.7-4529;;74,83800;-45,47939;
1RXS J045931.5+19224;;74,88126;19,37833;
3HSPJ045937.0-541707;BL Lac;74,90412;-54,28539;0,500
3HSPJ050021.5+523802;BL Lac;75,08950;52,63375;0,150
PMN J0500-4912;;75,16167;-49,20461;
3HSPJ050043.9+190317;BL Lac;75,18291;19,05481;0,250
1RXS J050107.1+24231;;75,27959;24,38847;
5BZQJ0501-0159;FSRQ;75,30338;-1,98731;2,291
4FGL J0501.0-2423;;75,30359;-24,38377;
3HSPJ050130.0+020401;BL Lac;75,37500;2,06681;0,580
3HSPJ050141.2+304826;BL Lac;75,42150;30,80711;0,310
5BZQJ0502+0609;FSRQ;75,56438;6,15208;1,106
3FGL J0502.7+3438;;75,62478;34,60960;
5BZBJ0502+1338;BL Lac;75,63838;13,63636;
3HSPJ050240.7-120430;BL Lac;75,66971;-12,07486;0,450
3HSPJ050244.8-450456;BL Lac;75,68667;-45,08211;0,310
5BZBJ0503+6534;;75,77425;65,56700;0,250
3HSPJ050319.1-390023;BL Lac;75,82951;-39,00631;0,156
5BZBJ0503-1115;BL Lac;75,89762;-11,25169;0,400
3HSPJ050339.6+451659;BL Lac;75,91488;45,28316;0,250
5BZQJ0503+6600;FSRQ;75,98517;66,00874;1,696
5BZQJ0503+3403;FSRQ;75,98659;34,05780;0,149
5BZUJ0504-6049;;76,00709;-60,83125;1,037
3HSPJ050419.5-095633;BL Lac;76,08129;-9,94244;0,320
5BZQJ0505+0459;FSRQ;76,34658;4,99519;0,954
5BZBJ0505+0415;BL Lac;76,39492;4,26519;0,424
TXS 0500+640;;76,42057;64,10730;
3FGL J0505.5-1558;;76,42372;-15,97751;
5BZQJ0505-0419;FSRQ;76,46350;-4,32406;1,481
3HSPJ050552.1-814358;BL Lac;76,46687;-81,73286;0,370
5BZQJ0505-2930;FSRQ;76,48267;-29,51061;1,070
5BZBJ0505+6113;BL Lac;76,49496;61,22664;0,270
3HSPJ050559.7-292631;BL Lac;76,49870;-29,44189;0,440
3HSPJ050601.7-382056;BL Lac;76,50696;-38,34875;0,182
NVSS J050605-040152;;76,52495;-4,03123;
5BZBJ0506-0858;BL Lac;76,66621;-8,96711;0,280
3HSPJ050643.0-234419;BL Lac;76,67934;-23,73872;0,450
5BZQJ0506-6109;FSRQ;76,68330;-61,16139;1,093
3HSPJ050650.1+032359;BL Lac;76,70892;3,39964;0,320
5BZBJ0506-5435;BL Lac;76,74083;-54,58439;0,260
3HSPJ050709.3-385949;BL Lac;76,78879;-38,99686;0,550
3HSPJ050727.3-334635;BL Lac;76,86362;-33,77650;0,390
NVWJ0507.6+6537;;76,91620;65,62550;
5BZQJ0507-6104;FSRQ;76,97779;-61,07864;1,089
5BZBJ0507+6737;BL Lac;76,98438;67,62344;0,340
3HSPJ050813.1-280743;BL Lac;77,05463;-28,12853;0,260
3FGL J0508.2-1936;;77,07917;-19,59894;
5BZQJ0508-6433;FSRQ;77,08496;-64,55480;0,518
3HSPJ050833.4+053109;BL Lac;77,13912;5,51919;
5BZBJ0508+8432;BL Lac;77,17650;84,53458;1,340
NVWJ0509.4-0425;;77,28010;-4,42170;
3HSPJ050912.9-731756;BL Lac;77,30367;-73,29878;
TXS 0506+196;;77,32542;19,69181;
5BZBJ0509+0541;BL Lac;77,35817;5,69314;
5BZQJ0509+1011;FSRQ;77,36442;10,19572;0,621
NVSS J050927-291339;;77,36554;-29,22807;
5BZBJ0509-0400;;77,40892;-4,01264;0,304
5BZBJ0509-2514;BL Lac;77,41608;-25,23433;0,264
3HSPJ050957.3-641742;BL Lac;77,48866;-64,29488;
5BZQJ0510+1800;FSRQ;77,50988;18,01155;0,416
CRATES J051015.50-18;;77,56387;-18,20776;
NVWJ0511.9-2554;;77,76574;-25,91403;
2MASS J05112936-6806;;77,87323;-68,10483;
