identifier;type;ra [°];dec [°];redshift
5BZQJ0017-2748;FSRQ;4,49583;-27,80586;1,169
5BZBJ0018+2947;BL Lac;4,61579;29,79189;0,100
3HSPJ001916.2+053149;BL Lac;4,81754;5,53025;0,467
5BZBJ0019-8152;BL Lac;4,83575;-81,88091;
3FGL J0019.1-5645;;4,86088;-56,69513;
5BZBJ0019+2021;BL Lac;4,90767;20,36272;
5BZQJ0019+2602;FSRQ;4,91575;26,04789;0,284
5BZQJ0019-3031;FSRQ;4,92783;-30,52200;2,677
5BZQJ0019+7327;FSRQ;4,94071;73,45841;1,781
2MASS J00205023+0323;;5,20936;3,39947;
5BZBJ0021-2550;BL Lac;5,38558;-25,84700;
5BZBJ0021-0900;BL Lac;5,42604;-9,01231;0,648
5BZBJ0022-5140;BL Lac;5,50033;-51,67339;0,250
5BZGJ0022+0006;;5,50396;0,11611;0,306
5BZQJ0022+4525;FSRQ;5,52758;45,42614;1,897
5BZBJ0022-1853;BL Lac;5,53863;-18,89300;
3HSPJ002209.6-670510;BL Lac;5,53983;-67,08622;0,300
5BZBJ0022+0608;BL Lac;5,63517;6,13456;
3HSPJ002255.0-341348;BL Lac;5,72900;-34,22997;
3HSPJ002259.0-244023;BL Lac;5,74596;-24,67303;
NVWJ0023.2-3109;;5,75230;-31,15633;
5BZUJ0023+4456;;5,89767;44,94328;2,023
4FGL J0024.5-0810;;6,00280;-8,18612;
5BZBJ0024+1602;BL Lac;6,00529;16,04278;
PKS 0021-686;;6,02801;-68,34850;0,354
B3 0021+464;;6,08974;46,73506;
5BZQJ0024+2439;FSRQ;6,11387;24,65739;1,444
5BZQJ0024+0349;FSRQ;6,18837;3,81769;0,545
5BZQJ0024-0412;FSRQ;6,19150;-4,20047;1,946
5BZQJ0025-2227;FSRQ;6,35104;-22,46322;0,834
MRSS 194-093029;;6,44093;-48,06531;
3HSPJ002611.6-073116;BL Lac;6,54842;-7,52097;0,500
5BZBJ0026-4601;;6,64842;-46,01936;0,250
5BZQJ0026-1112;FSRQ;6,71429;-11,21458;1,118
5BZQJ0027+2241;FSRQ;6,81404;22,69953;1,119
5BZGJ0027+2607;;6,86250;26,11853;0,360
3FGL J0028.6+7507;;7,05443;75,10358;
3FGL J0028.8+1951;;7,12424;20,00743;
5BZBJ0028+2408;;7,14254;24,13567;0,373
5BZUJ0028+0035;;7,16600;0,59481;0,687
5BZBJ0028-7045;BL Lac;7,17308;-70,75439;
GB6 J0028+3550;;7,21654;35,84335;
NVWJ0028.9-3754;;7,22790;-37,91333;
4FGL J0028.8-0112;;7,25411;-1,22827;0,082
5BZQJ0029+0509;FSRQ;7,26492;5,15967;1,633
3HSPJ002928.6+205334;BL Lac;7,36917;20,89269;0,367
5BZQJ0029+0554;FSRQ;7,44121;5,91136;1,314
5BZBJ0030-0000;BL Lac;7,53283;-0,00200;
5BZQJ0030-4224;FSRQ;7,57288;-42,41289;0,495
3HSPJ003020.4-164713;BL Lac;7,58508;-16,78694;0,237
NVWJ0030.2+8112;;7,60950;81,20452;
3FGL J0030.7-0209;;7,63260;-2,19893;
NVWJ0031.5+4229;;7,76930;42,48663;
3HSPJ003119.7+072453;BL Lac;7,83212;7,41483;
3HSPJ003120.5-233401;BL Lac;7,83558;-23,56705;0,300
3HSPJ003120.8+051333;BL Lac;7,83663;5,22586;0,220
5BZQJ0031-3922;FSRQ;7,85138;-39,38039;1,298
5BZQJ0031-4108;FSRQ;7,86687;-41,13770;0,896
SUMSS J003210-552228;;8,04550;-55,37444;
NVWJ0032.9+1852;;8,07120;18,88233;
3HSPJ003222.6-472536;BL Lac;8,09404;-47,42669;0,440
5BZQJ0032-2649;FSRQ;8,13754;-26,82172;1,470
5BZBJ0032-2849;BL Lac;8,13779;-28,82231;0,324
3HSPJ003322.5-203908;BL Lac;8,34363;-20,65228;0,073
3HSPJ003333.3+502956;BL Lac;8,38854;50,49892;0,450
5BZBJ0033-1921;BL Lac;8,39317;-19,35914;0,506
3HSPJ003358.8+390632;BL Lac;8,49508;39,10880;0,580
MG3 J003408+3901;;8,51000;39,01042;
2MASS J00341272-4116;;8,51837;-41,27208;
5BZQJ0034+2754;FSRQ;8,68121;27,90714;2,964
NVWJ0034.4+0326;;8,70660;3,43423;
PMN J0035-5726;;8,76437;-57,43557;
5BZBJ0035+1515;BL Lac;8,81129;15,25117;0,640
