Updated classification?;identifier;type;ra [°];dec [°];redshift;nh [cm-2];log10(nu_peak);log10(nu F_nu);BlaST: log10(nu_peak);BlaST: +/-;W-peak: error/warning;Source confusion;W-peak: flux ratio;W-peak: slope;W-peak: log10(nu_peak);W-peak: +/-;W-peak: log10(nu F_nu);W-peak: lim- log10(nu F_nu);W-peak: lim+ log10(nu F_nu)
Yes;3HSPJ000132.7-415525;BL Lac;0,38643;-41,92364;;1,29E+20;16,2;-11,8;15,9;0,3;;No possible source for confusion within 20 arcseconds;2,2;0,90;17,1;0,4;-11,65;-11,85;-11,49
No;ATLAS-VAR-VLASS1;;0,38999;34,57035;;6,27E+20;;;15,2;0,4;;There are no confusing sources at this position. The closest object is located at 10 arcseconds;1,3;0,54;15,7;0,4;-11,34;-11,41;-11,28
No;5BZGJ0001-1031;;0,48858;-10,52147;0,252;3,20E+20;;;15,8;0,4;Low flux variability and large IR spectral slope. That is likely because the IR flux is dominated by the host galaxy or IR torus. Only use the Wpeak prediction if the SED does not show any of these features.;There are no confusing sources at this position. The closest object is located at 12 arcseconds;1,3;1,14;17,5;0,0;-11,56;0,00;0,00
Yes;3HSPJ000158.1-115047;BL Lac;0,49225;-11,84639;0,530;2,39E+20;16,1;-12,5;15,7;0,4;Not enough IR data measurements to provide a Wpeak prediction.;There are no confusing sources at this position. The closest object is located at 14 arcseconds;;;;;;;
Yes;4FGL J0001.8-2153;;0,54992;-21,88607;;2,31E+20;13,6;-12,0;14,0;0,5;;There are no confusing sources at this position. The closest object is located at 10 arcseconds;3,6;0,00;13,6;0,4;-11,94;-12,25;-11,69
Yes;3HSPJ000215.2-672653;BL Lac;0,56328;-67,44817;0,520;2,52E+20;15,7;-12,0;15,3;0,4;;No possible source for confusion within 20 arcseconds;1,6;0,66;16,1;0,4;-11,98;-12,08;-11,87
No;4FGL J0002.4-5156;;0,62168;-51,87431;;1,37E+20;;;15,1;0,6;Not enough flux variability. ;No possible source for confusion within 20 arcseconds;1,2;;;;;;
No;3HSPJ000236.1-081532;BL Lac;0,65025;-8,25900;0,390;2,75E+20;;;14,6;1,0;;No possible source for confusion within 20 arcseconds;1,9;0,56;15,8;0,4;-12,04;-12,18;-11,89
Yes;5BZBJ0002-0024;BL Lac;0,73817;-0,41308;0,523;2,94E+20;13,8;-12,4;13,8;0,9;;No possible source for confusion within 20 arcseconds;2,3;0,41;15,2;0,4;-12,22;-12,35;-11,99
Yes;PMN J0003-5905;;0,80554;-59,09658;;1,10E+20;13,6;-12,6;13,8;1,0;;No possible source for confusion within 20 arcseconds;1,3;-0,10;13,2;0,4;-12,62;-12,68;-12,56
Yes;PKS 0000-197;;0,82781;-19,45621;;2,19E+20;13,1;-12,0;13,1;0,4;;No possible source for confusion within 20 arcseconds;6,6;-0,26;12,9;0,4;-12,04;-12,46;-11,64
Yes;5BZQJ0003+2129;FSRQ;0,83058;21,49572;0,450;3,72E+20;12,9;-11,7;12,9;0,3;Not enough flux variability. ;No possible source for confusion within 20 arcseconds;1,2;;;;;;
Yes;3HSPJ000319.6-524727;BL Lac;0,83150;-52,79095;0,370;1,56E+20;17,3;-11,7;17,0;0,5;Low flux variability and large IR spectral slope. That is likely because the IR flux is dominated by the host galaxy or IR torus. Only use the Wpeak prediction if the SED does not show any of these features.;There are no confusing sources at this position. The closest object is located at 10 arcseconds;1,4;1,20;17,5;0,0;-11,59;0,00;0,00
No;4FGL J0003.5+0717;;0,84684;7,28718;;4,32E+20;;;14,6;0,5;Low flux variability and large IR spectral slope. That is likely because the IR flux is dominated by the host galaxy or IR torus. Only use the Wpeak prediction if the SED does not show any of these features.;Possible confusing source at distance of 8 arcseconds, vmag=100.0;1,4;1,21;17,5;0,0;-11,28;0,00;0,00
Yes;2MASX J00032450+2204;;0,85218;22,08215;;3,70E+20;15,2;-12,7;15,2;0,5;Not enough IR data measurements to provide a Wpeak prediction.;There are no confusing sources at this position. The closest object is located at 18 arcseconds;;;;;;;
Yes;3FGL J0003.8-1151;;0,92848;-11,86372;;2,35E+20;14,2;-12,3;14,2;0,7;Not enough flux variability. ;No possible source for confusion within 20 arcseconds;1,2;;;;;;
Yes;SDSS J000359.23+0841;;0,99679;8,69394;;4,81E+20;14,1;-12,6;14,4;0,5;;No possible source for confusion within 20 arcseconds;2,1;0,04;13,8;0,4;-12,62;-12,80;-12,48
